2345285	-2749314	3005285	-3409314
2885285	-2749314	3605285	-3409314
3485285	-2749314	4205285	-3409314
4085285	-2749314	4575386	-3409314
2345285	-2149314	3005285	-2869314
2885285	-2149314	3605285	-2869314
3485285	-2149314	4205285	-2869314
4085285	-2149314	4575386	-2869314
2345285	-1549314	3005285	-2269314
2885285	-1549314	3605285	-2269314
3485285	-1549314	4205285	-2269314
4085285	-1549314	4575386	-2269314
2345285	-1004813	3005285	-1669314
2885285	-1004813	3605285	-1669314
3485285	-1004813	4205285	-1669314
4085285	-1004813	4575386	-1669314
2345285	-1004813	3005285	-1069314
2885285	-1004813	3605285	-1069314
3485285	-1004813	4205285	-1069314
4085285	-1004813	4575386	-1069314
