2345285	-2804314	2950285	-3409314
2840285	-2804314	3500285	-3409314
3390285	-2804314	4050285	-3409314
3940285	-2804314	4575386	-3409314
4490285	-2804314	4575386	-3409314
2345285	-2254314	2950285	-2914314
2840285	-2254314	3500285	-2914314
3390285	-2254314	4050285	-2914314
3940285	-2254314	4575386	-2914314
4490285	-2254314	4575386	-2914314
2345285	-1704314	2950285	-2364314
2840285	-1704314	3500285	-2364314
3390285	-1704314	4050285	-2364314
3940285	-1704314	4575386	-2364314
4490285	-1704314	4575386	-2364314
2345285	-1154314	2950285	-1814314
2840285	-1154314	3500285	-1814314
3390285	-1154314	4050285	-1814314
3940285	-1154314	4575386	-1814314
4490285	-1154314	4575386	-1814314
2345285	-1004813	2950285	-1264314
2840285	-1004813	3500285	-1264314
3390285	-1004813	4050285	-1264314
3940285	-1004813	4575386	-1264314
4490285	-1004813	4575386	-1264314
